0	1.09	1.090000000000001	1.09	1.090000000000001
9	1.16	0.2946183972531248	1.8	0.7655063683601857
18	1.26	0.4294182110716776	2.49	0.9980480950335009
27	1.33	0.563293884220306	3.01	1.2001249934902618
36	1.38	0.6508456038109189	3.61	1.5264009958068019
45	1.52	0.7315736463268755	4.35	1.9456361427563995
54	1.65	0.8405355435673139	5.1	2.1189620100417095
63	1.76	1.0097524449091468	6.05	2.6177280225416846
72	1.89	1.1486078530116364	7.05	3.222964473896664
81	2.02	1.3095037227896689	8.05	3.7825256112814376
90	2.13	1.4531689509482377	9.11	4.539944933586749
99	2.37	1.5718460484411318	10.3	5.187870468699079
108	2.61	1.8085076720876794	11.67	5.950369736411343
117	2.89	2.0630802214165103	13.23	6.953754381627235
126	3.17	2.322993758063074	15.04	8.193485216926922
135	3.37	2.6117235688334235	16.75	9.368164174479437
144	3.59	2.8109606898709902	18.65	10.692871457190531
153	3.83	3.003248241487873	20.51	12.193731996398807
162	4.04	3.07655651662699	22.52	13.567977004697493
171	4.34	3.3148755632753404	24.77	15.220778560901541
180	4.73	3.6189086752776727	27.17	17.13525897090557
189	5.17	3.9762670936444904	29.71	19.032411828247096
198	5.59	4.3171170936169885	32.3	21.079705880301077
207	6.12	4.819004046480974	35.42	23.34361582960104
216	6.59	5.383911217692951	38.84	26.16295090390226
225	7.07	5.932309836817359	42.37	28.915658387800892
234	7.54	6.280605066392887	46.34	31.789526577160604
243	8.11	6.939257885393796	50.48	35.08224622227033
252	8.83	7.5601785693196435	54.99	38.787494118594466
261	9.49	8.306425223885425	59.8	42.786282848595285
270	10.07	8.843432591477136	64.52	46.996365816943765
279	10.62	9.322424577329656	69.48	51.10881724321157
288	11.52	9.901797816558364	75.32	55.35752162082402
297	12.39	10.791964603351882	81.39	60.181745571227815
306	13.11	11.478514712278765	87.6	65.74330384153201
315	13.93	11.999595826526823	94.37	70.74385415002494
324	15.05	12.761641743913673	101.48	76.1677438289989
333	16.02	13.848768898353384	109.22	81.96229132961085
342	17.14	14.759878048276683	117.3	88.226741977702
351	18.52	15.685815248178846	126.05	95.17758402060853
360	19.89	17.29238271609786	135.12	102.49288950946793
369	21.4	18.60693419131696	145.25	109.9265322840669
378	22.75	19.93445509664109	155.67	118.51752570822595
387	24.26	20.94487049375097	166.72	126.69981689015972
396	25.96	22.09032367350012	178.67	135.38361828522682
405	27.65	23.366525201664025	190.99	144.81126855324482
414	29.37	24.48072507096144	204.2	154.0809332785858
423	31.03	25.650120857415075	218.35	164.16967594534628
432	32.94	26.982164479522385	233.1	174.90057175435416
441	35.23	28.674038780750788	248.42	185.57487006596554
450	37.53	30.11788671205203	263.97	196.5176992028962
459	40.23	32.32520842933578	280.93	207.11429380899816
468	42.55	34.57657443992969	299.07	219.22126881304195
477	45.59	36.23105159942228	318.14	230.76323364002337
486	48.64	38.663476305164295	338.46	243.50047802827817
495	51.9	41.27587673205743	359.06	256.7330683803705
504	55.29	43.29367274787391	381.15	270.61538112235974
513	58.73	45.72722930596168	404.45	284.94406029956133
522	62.34	47.98634389073626	428.55	299.9624268137596
531	66.1	49.96100479373887	453.8	313.96345328716205
540	69.66	52.25211574663747	479.04	328.3439014204467
549	73.38	54.70998811917254	505.77	341.6009825805541
558	77.56	56.735244777827475	533.39	355.8009858052673
567	81.64	59.097654775803065	561.05	370.2398864250041
576	86.29	61.07497769135901	590.5	384.4764882278239
585	91.01	63.48987557083414	620.81	398.9958973473287
594	96.41	65.91941974865979	653.15	413.99754769805105
603	101.74	69.12214406396838	686.39	427.79603212278624
612	106.8	71.23395257880894	719.61	441.6824269766684
621	112.28	73.91326267998186	754.18	455.68715452599713
630	117.91	76.7076169620723	789.11	470.7014048205083
639	123.97	78.52289793429685	825.1	484.58183828946795
648	129.92	80.70979866162472	861.51	496.6913912078607
657	136.15	83.12296012534682	898.81	507.9817121708223
666	141.78	86.004560344205	937.17	519.7937316859449
675	148.32	88.39967873244788	975.73	531.3800285106696
684	154.37	90.82741931817725	1014.7	541.8757957318263
693	161.31	93.04867919535448	1054.54	552.470393414887
702	168.08	95.06927369029385	1093.8	562.1630510803782
711	174.96	97.17267105518917	1133.05	571.0772649125511
720	182.32	99.40808820211764	1173.04	578.434168769446
729	189.5	101.23334430907634	1212.55	584.719401508108
738	196.02	103.18565985639673	1252.4	590.5982136783009
747	203.04	104.57160226371211	1291.85	595.4446258889234
756	210.59	106.1344472826801	1330.98	600.0026036610175
765	217.98	107.92216639782578	1370.84	603.1708374913363
774	226.0	109.52890029576669	1410.9	605.9652283753582
783	233.79	110.63744438480131	1449.4	607.8727333907979
792	240.9	111.56208137176358	1487.81	608.553701903127
801	248.8	111.96035012449718	1526.56	608.660197811554
810	256.15	113.27560416965345	1564.03	607.3394333484366
819	263.59	114.01526696017514	1601.44	606.0239081092427
828	271.0	114.54828676152253	1638.2	603.2717828640754
837	277.88	114.60180801366093	1674.5	600.4696411976213
846	285.41	114.64679018620626	1710.65	595.6502098547436
855	292.79	115.02019953034338	1745.05	591.1047009625283
864	300.23	115.29665866797698	1777.17	585.6303970082156
873	306.79	115.48277230825384	1809.3	579.9832738967564
882	313.39	114.67330072863514	1840.69	573.8182483156144
891	320.29	114.42520657617361	1871.68	566.6483159773794
900	326.99	113.82045466435282	1902.23	558.7159923431582
909	332.98	113.10397870985796	1930.53	550.0019337238734
918	338.49	112.24473127946808	1958.15	541.0571443941942
927	344.66	111.77754157253592	1984.72	532.1118044170794
936	349.9	110.63526562538729	2010.38	522.841388185748
